BusinessDate,CLS,BKC,OrderSource,Orders,SubTotal,Whoppers,Jrs,Duos,DuoOrders,DuoSubTotal
12/15/2022,285,1799,Delivery,4,72.84,1,0,0,0,0
12/15/2022,285,1799,Store,245,2898.07,38,41,14,13,182.66
12/16/2022,285,1799,Delivery,3,70.3,1,0,0,0,0
12/16/2022,285,1799,Store,461,5242.81,67,99,28,25,278.25
12/17/2022,285,1799,Delivery,6,128.69,2,0,0,0,0
12/17/2022,285,1799,Store,426,5007.8,64,138,46,40,523.02
12/18/2022,285,1799,Delivery,3,58.89,0,0,0,0,0
12/18/2022,285,1799,Store,389,4652.83,70,103,38,35,536.68
12/19/2022,285,1799,Delivery,4,86.74,0,2,0,0,0
12/19/2022,285,1799,Store,469,5176.95,65,150,56,54,670.59
12/20/2022,285,1799,Delivery,4,100.6,1,2,0,0,0
12/20/2022,285,1799,Store,449,4945.44,67,105,30,27,387.55
12/21/2022,285,1799,Delivery,1,11.25,0,0,0,0,0
12/21/2022,285,1799,Store,509,5724.93,83,117,29,29,378.14
12/22/2022,285,1799,Delivery,2,38.57,0,1,0,0,0
12/22/2022,285,1799,Store,397,4658.17,63,92,28,26,302.9
12/23/2022,285,1799,Delivery,4,87.88,0,0,0,0,0
12/23/2022,285,1799,Store,381,4558.01,56,103,27,26,301.88
12/24/2022,285,1799,Delivery,4,107.85,2,0,0,0,0
12/24/2022,285,1799,Store,287,3037.24,31,73,27,24,286.15
12/26/2022,285,1799,Delivery,5,73.48,0,0,0,0,0
12/26/2022,285,1799,Store,450,5691.75,82,93,27,26,363.03
12/27/2022,285,1799,Delivery,2,64.07,0,0,0,0,0
12/27/2022,285,1799,Store,455,5026.93,74,134,51,45,589.97
12/28/2022,285,1799,Delivery,3,61.4,0,0,0,0,0
12/28/2022,285,1799,Store,478,5446.18,88,124,40,36,440.87
12/29/2022,285,1799,Delivery,9,217.59,3,0,0,0,0
12/29/2022,285,1799,Store,447,4947,89,87,28,26,294.49
12/30/2022,285,1799,Delivery,2,67.58,1,0,0,0,0
12/30/2022,285,1799,Store,560,6866.58,107,152,48,43,690.96
12/31/2022,285,1799,Delivery,4,64.05,1,1,0,0,0
12/31/2022,285,1799,Store,401,4616.42,69,108,29,23,354.61
01/01/2023,285,1799,Delivery,5,92.49,0,2,0,0,0
01/01/2023,285,1799,Store,269,3198.64,41,90,31,28,314.58
01/02/2023,285,1799,Delivery,6,106.84,1,1,0,0,0
01/02/2023,285,1799,Store,464,5258.58,101,110,33,29,424.67
01/03/2023,285,1799,Delivery,5,133.66,0,1,0,0,0
01/03/2023,285,1799,Store,507,5255.22,71,134,45,41,458.57
01/04/2023,285,1799,Delivery,3,58.22,0,0,0,0,0
01/04/2023,285,1799,Store,487,5437.74,92,146,51,47,553.22
01/05/2023,285,1799,Delivery,3,46.68,0,0,0,0,0
01/05/2023,285,1799,Store,552,5831.35,87,65,0,0,0
01/06/2023,285,1799,Delivery,3,66.51,0,0,0,0,0
01/06/2023,285,1799,Store,537,6022.38,85,56,0,0,0
01/07/2023,285,1799,Delivery,5,112.48,0,0,0,0,0
01/07/2023,285,1799,Store,469,5816.27,82,46,0,0,0
01/08/2023,285,1799,Delivery,5,87.76,0,0,0,0,0
01/08/2023,285,1799,Store,335,4006.72,65,25,0,0,0
01/09/2023,285,1799,Delivery,5,128.53,0,0,0,0,0
01/09/2023,285,1799,Store,531,5557.86,71,53,0,0,0
01/10/2023,285,1799,Delivery,5,150.8,1,0,0,0,0
01/10/2023,285,1799,Store,536,5486.02,63,52,0,0,0
01/11/2023,285,1799,Delivery,1,26.65,0,0,0,0,0
01/11/2023,285,1799,Store,543,5725.33,84,48,0,0,0
01/12/2023,285,1799,Delivery,4,87,0,0,0,0,0
01/12/2023,285,1799,Store,478,5077.3,69,56,0,0,0
01/13/2023,285,1799,Delivery,5,121.84,1,1,0,0,0
01/13/2023,285,1799,Store,500,5480.49,66,54,0,0,0
01/14/2023,285,1799,Delivery,6,125.48,0,0,0,0,0
01/14/2023,285,1799,Store,452,5232.62,59,47,0,0,0
01/15/2023,285,1799,Delivery,6,116.11,0,0,0,0,0
01/15/2023,285,1799,Store,370,4447.83,50,33,0,0,0
01/16/2023,285,1799,Delivery,2,34.5,0,0,0,0,0
01/16/2023,285,1799,Store,461,4837.27,62,59,0,0,0
01/17/2023,285,1799,Delivery,6,144.73,2,4,0,0,0
01/17/2023,285,1799,Store,450,5031.5,68,37,0,0,0
01/18/2023,285,1799,Delivery,4,86.61,1,0,0,0,0
01/18/2023,285,1799,Store,500,5142.72,58,67,0,0,0
01/19/2023,285,1799,Delivery,6,106.68,1,0,0,0,0
01/19/2023,285,1799,Store,482,5263.35,52,51,0,0,0
01/20/2023,285,1799,Delivery,6,122.36,0,1,0,0,0
01/20/2023,285,1799,Store,518,5547.69,83,64,0,0,0
01/21/2023,285,1799,Delivery,5,113.38,0,1,0,0,0
01/21/2023,285,1799,Store,435,5058.04,73,43,0,0,0
01/22/2023,285,1799,Delivery,6,154.02,0,2,0,0,0
01/22/2023,285,1799,Store,342,3731.52,55,23,0,0,0
01/23/2023,285,1799,Delivery,5,69.9,1,0,0,0,0
01/23/2023,285,1799,Store,427,4579.53,58,40,0,0,0
01/24/2023,285,1799,Delivery,4,78.11,0,0,0,0,0
01/24/2023,285,1799,Store,452,4758.71,57,32,0,0,0
01/25/2023,285,1799,Delivery,10,214.51,2,1,0,0,0
01/25/2023,285,1799,Store,308,3442.32,49,28,0,0,0
04/20/2023,285,1799,Delivery,7,143.85,1,0,0,0,0
04/20/2023,285,1799,Store,549,6183.82,86,59,0,0,0
04/21/2023,285,1799,Delivery,4,147.59,2,0,0,0,0
04/21/2023,285,1799,Store,562,6805.77,78,71,0,0,0
04/22/2023,285,1799,Delivery,3,111.31,4,1,0,0,0
04/22/2023,285,1799,Store,548,6471.06,93,64,0,0,0
04/23/2023,285,1799,Delivery,6,112.4,0,2,0,0,0
04/23/2023,285,1799,Store,425,4912.01,55,66,0,0,0
04/24/2023,285,1799,Delivery,3,66.26,0,0,0,0,0
04/24/2023,285,1799,Store,457,5623.33,74,49,0,0,0
04/25/2023,285,1799,Delivery,4,105.17,0,0,0,0,0
04/25/2023,285,1799,Store,506,5898.97,81,50,0,0,0
04/26/2023,285,1799,Delivery,5,118.83,2,1,0,0,0
04/26/2023,285,1799,Store,481,5361.05,68,62,0,0,0
04/27/2023,285,1799,Delivery,0,0,0,0,0,0,0
04/27/2023,285,1799,Store,563,6421.67,73,79,0,0,0
04/28/2023,285,1799,Delivery,6,135.69,2,0,0,0,0
04/28/2023,285,1799,Store,571,6493.61,78,53,0,0,0
04/29/2023,285,1799,Delivery,7,185.67,1,2,0,0,0
04/29/2023,285,1799,Store,484,5968.13,77,72,0,0,0
04/30/2023,285,1799,Delivery,6,121.54,1,0,0,0,0
04/30/2023,285,1799,Store,409,4836.06,58,53,0,0,0
05/01/2023,285,1799,Delivery,4,82.53,0,0,0,0,0
05/01/2023,285,1799,Store,468,5404.99,73,61,0,0,0
05/02/2023,285,1799,Delivery,2,32.84,0,0,0,0,0
05/02/2023,285,1799,Store,545,6144,68,49,0,0,0
05/03/2023,285,1799,Delivery,4,82.45,2,4,0,0,0
05/03/2023,285,1799,Store,484,5189.05,73,52,0,0,0
05/04/2023,285,1799,Delivery,6,168.08,0,0,0,0,0
05/04/2023,285,1799,Store,515,5980.34,76,69,0,0,0
05/05/2023,285,1799,Delivery,9,197.16,1,0,0,0,0
05/05/2023,285,1799,Store,606,7133.36,101,73,0,0,0
05/06/2023,285,1799,Delivery,4,67.9,0,0,0,0,0
05/06/2023,285,1799,Store,574,7372.8,94,46,0,0,0
05/07/2023,285,1799,Delivery,7,180.47,3,0,0,0,0
05/07/2023,285,1799,Store,486,5809.19,73,43,0,0,0
05/08/2023,285,1799,Delivery,3,142.59,2,2,0,0,0
05/08/2023,285,1799,Store,466,5049.61,52,46,0,0,0
05/09/2023,285,1799,Delivery,8,197.36,1,0,0,0,0
05/09/2023,285,1799,Store,501,5870.52,65,48,0,0,0
05/10/2023,285,1799,Delivery,7,111.63,2,1,0,0,0
05/10/2023,285,1799,Store,523,5719.48,72,51,0,0,0
05/11/2023,285,1799,Delivery,4,94.7,1,0,0,0,0
05/11/2023,285,1799,Store,561,6132.33,73,51,0,0,0
05/12/2023,285,1799,Delivery,8,207.63,2,1,0,0,0
05/12/2023,285,1799,Store,539,6167.21,70,57,0,0,0
05/13/2023,285,1799,Delivery,13,354.52,7,0,0,0,0
05/13/2023,285,1799,Store,483,5801.02,80,73,0,0,0
05/14/2023,285,1799,Delivery,8,243.73,3,0,0,0,0
05/14/2023,285,1799,Store,375,4550.18,70,41,0,0,0
05/15/2023,285,1799,Delivery,4,94.46,2,0,0,0,0
05/15/2023,285,1799,Store,507,5298.93,70,57,0,0,0
05/16/2023,285,1799,Delivery,4,99.45,0,0,0,0,0
05/16/2023,285,1799,Store,473,4988.85,62,40,0,0,0
05/17/2023,285,1799,Delivery,2,54.28,0,1,0,0,0
05/17/2023,285,1799,Store,549,6275.1,99,58,0,0,0
05/18/2023,285,1799,Delivery,5,107.66,2,0,0,0,0
05/18/2023,285,1799,Store,573,6089.53,57,88,22,18,178.79
05/19/2023,285,1799,Delivery,10,293.38,0,1,0,0,0
05/19/2023,285,1799,Store,611,6843.5,99,141,42,38,452.32
05/20/2023,285,1799,Delivery,3,81.57,0,0,0,0,0
05/20/2023,285,1799,Store,549,6494.43,90,99,23,21,269.84
05/21/2023,285,1799,Delivery,8,159.66,2,0,0,0,0
05/21/2023,285,1799,Store,494,6052.39,70,101,30,25,418.03
05/22/2023,285,1799,Delivery,4,116.81,0,0,0,0,0
05/22/2023,285,1799,Store,516,5714.78,76,100,30,27,290.56
05/23/2023,285,1799,Delivery,4,87.81,0,0,0,0,0
05/23/2023,285,1799,Store,575,5794.51,54,115,43,37,443.78
05/24/2023,285,1799,Delivery,6,172.75,1,0,0,0,0
05/24/2023,285,1799,Store,532,6195.98,67,114,40,33,403
05/25/2023,285,1799,Delivery,5,166.68,3,0,0,0,0
05/25/2023,285,1799,Store,615,7430.88,98,113,38,34,437.53
05/26/2023,285,1799,Delivery,4,107.39,1,1,0,0,0
05/26/2023,285,1799,Store,617,7606.27,96,137,57,45,553.76
05/27/2023,285,1799,Delivery,3,121.24,1,1,0,0,0
05/27/2023,285,1799,Store,495,5729.65,68,86,26,25,356.95
05/28/2023,285,1799,Delivery,4,200.72,7,0,0,0,0
05/28/2023,285,1799,Store,416,4887.57,81,96,36,33,430.14
05/29/2023,285,1799,Delivery,2,52.08,0,2,0,0,0
05/29/2023,285,1799,Store,449,5469.64,52,77,28,27,358.22
05/30/2023,285,1799,Delivery,1,14.4,0,0,0,0,0
05/30/2023,285,1799,Store,497,5618.89,58,96,33,32,399.27
05/31/2023,285,1799,Delivery,3,79.53,0,1,0,0,0
05/31/2023,285,1799,Store,517,5967.42,68,110,34,28,379.77
06/01/2023,285,1799,Delivery,2,40.9,0,0,0,0,0
06/01/2023,285,1799,Store,596,6937.31,77,143,62,49,639.9
06/02/2023,285,1799,Delivery,5,180.09,2,0,0,0,0
06/02/2023,285,1799,Store,564,6239.31,81,124,43,35,423.73
06/03/2023,285,1799,Delivery,5,150.05,6,0,0,0,0
06/03/2023,285,1799,Store,538,6486.13,69,133,49,43,469.6
06/04/2023,285,1799,Delivery,4,227.85,4,0,0,0,0
06/04/2023,285,1799,Store,517,6268.8,73,139,55,47,644.48
06/05/2023,285,1799,Delivery,3,125.23,4,0,0,0,0
06/05/2023,285,1799,Store,544,6045.43,76,136,51,45,582.36
06/06/2023,285,1799,Delivery,6,159.11,2,0,0,0,0
06/06/2023,285,1799,Store,457,5254.9,77,109,42,36,456.09
06/07/2023,285,1799,Delivery,5,93.94,2,1,0,0,0
06/07/2023,285,1799,Store,453,5155.46,86,105,35,31,332.5
06/08/2023,285,1799,Delivery,2,52.84,1,0,0,0,0
06/08/2023,285,1799,Store,502,5518.92,71,121,48,39,521.32
06/09/2023,285,1799,Delivery,1,46.73,0,0,0,0,0
06/09/2023,285,1799,Store,472,5940.87,92,135,45,37,499.36
06/10/2023,285,1799,Delivery,5,134.08,1,2,0,0,0
06/10/2023,285,1799,Store,473,5548.59,65,119,47,41,561.46
06/11/2023,285,1799,Delivery,6,121.61,0,0,0,0,0
06/11/2023,285,1799,Store,421,5246.26,60,112,42,37,513.22
06/12/2023,285,1799,Delivery,6,117.39,1,1,0,0,0
06/12/2023,285,1799,Store,429,5038.35,61,120,44,39,529.73
06/13/2023,285,1799,Delivery,6,103.06,1,0,0,0,0
06/13/2023,285,1799,Store,525,5745.08,74,121,50,42,473.53
06/14/2023,285,1799,Delivery,4,84.17,1,1,0,0,0
06/14/2023,285,1799,Store,477,5166.94,64,147,54,48,493.36
06/15/2023,285,1799,Delivery,5,158.83,0,2,0,0,0
06/15/2023,285,1799,Store,516,5743.8,64,146,60,47,676.12
06/16/2023,285,1799,Delivery,2,52.31,0,0,0,0,0
06/16/2023,285,1799,Store,470,5381.59,63,133,46,39,538.11
06/17/2023,285,1799,Delivery,6,191.34,3,4,0,0,0
06/17/2023,285,1799,Store,502,5890.01,71,130,44,37,430.59
06/18/2023,285,1799,Delivery,4,115.24,0,0,0,0,0
06/18/2023,285,1799,Store,404,4940.56,66,123,44,38,572.28
06/19/2023,285,1799,Delivery,8,209.88,1,1,0,0,0
06/19/2023,285,1799,Store,438,4697.64,65,104,37,32,374.42
06/20/2023,285,1799,Delivery,3,91.83,1,1,0,0,0
06/20/2023,285,1799,Store,477,5070.14,65,151,64,54,655.54
06/21/2023,285,1799,Delivery,6,152.48,1,1,0,0,0
06/21/2023,285,1799,Store,506,5044.73,71,128,58,50,555.65
06/22/2023,285,1799,Delivery,4,83.1,0,0,0,0,0
06/22/2023,285,1799,Store,491,5505.16,77,118,48,41,564.08
06/23/2023,285,1799,Delivery,9,199.13,2,0,0,0,0
06/23/2023,285,1799,Store,523,5919.67,77,135,48,46,488.77
06/24/2023,285,1799,Delivery,5,139.18,0,0,0,0,0
06/24/2023,285,1799,Store,433,5048.33,58,138,55,43,517.87
06/25/2023,285,1799,Delivery,4,91.56,0,0,0,0,0
06/25/2023,285,1799,Store,424,4580.89,65,106,43,34,465.49
06/26/2023,285,1799,Delivery,6,161.3,4,1,0,0,0
06/26/2023,285,1799,Store,471,4950.2,58,118,45,36,411.77
06/27/2023,285,1799,Delivery,4,72.48,0,0,0,0,0
06/27/2023,285,1799,Store,427,4402.41,44,108,45,41,452.49
06/28/2023,285,1799,Delivery,2,39.66,0,0,0,0,0
06/28/2023,285,1799,Store,528,6336.81,78,149,64,54,731.71
06/29/2023,285,1799,Delivery,7,149.39,0,0,0,0,0
06/29/2023,285,1799,Store,560,6615.07,96,164,58,48,546.54
06/30/2023,285,1799,Delivery,8,165.9,0,0,0,0,0
06/30/2023,285,1799,Store,573,6894.51,91,139,51,44,504.18
07/01/2023,285,1799,Delivery,6,154.85,2,2,0,0,0
07/01/2023,285,1799,Store,445,5465.06,73,110,40,38,431.64
07/02/2023,285,1799,Delivery,9,225.36,0,0,0,0,0
07/02/2023,285,1799,Store,378,4491.68,64,74,29,28,322.91
07/03/2023,285,1799,Delivery,6,153.76,1,3,0,0,0
07/03/2023,285,1799,Store,488,5676.09,52,145,53,43,497.49
07/04/2023,285,1799,Delivery,4,90.18,0,0,0,0,0
07/04/2023,285,1799,Store,363,4482.06,72,113,42,38,555.62
07/05/2023,285,1799,Delivery,4,207.68,0,1,0,0,0
07/05/2023,285,1799,Store,522,5948.9,78,199,76,55,757.7
07/06/2023,285,1799,Delivery,3,59.07,0,0,0,0,0
07/06/2023,285,1799,Store,540,6302.39,82,172,68,54,692.79
07/07/2023,285,1799,Delivery,4,117.48,0,0,0,0,0
07/07/2023,285,1799,Store,553,6369.11,86,140,52,48,566.74
07/08/2023,285,1799,Delivery,2,97.53,1,0,0,0,0
07/08/2023,285,1799,Store,478,5730.95,66,137,55,51,752.89
07/09/2023,285,1799,Delivery,5,197.45,5,0,0,0,0
07/09/2023,285,1799,Store,380,4555.63,42,95,38,33,456.41
07/10/2023,285,1799,Delivery,8,179.93,0,1,0,0,0
07/10/2023,285,1799,Store,477,5261.99,68,142,55,47,467.44
07/11/2023,285,1799,Delivery,3,69.61,0,1,0,0,0
07/11/2023,285,1799,Store,490,5112.24,57,142,49,45,486.63
07/12/2023,285,1799,Delivery,1,14.15,0,0,0,0,0
07/12/2023,285,1799,Store,502,5672.26,82,106,42,38,375.62
07/13/2023,285,1799,Delivery,5,126.79,0,0,0,0,0
07/13/2023,285,1799,Store,500,5889.22,111,154,58,54,629.37
07/14/2023,285,1799,Delivery,6,180.2,2,0,0,0,0
07/14/2023,285,1799,Store,482,5397.02,62,109,42,40,479.94
07/15/2023,285,1799,Delivery,6,223.69,0,3,0,0,0
07/15/2023,285,1799,Store,494,5501.45,73,129,53,46,507.97
07/16/2023,285,1799,Delivery,5,95.28,0,0,0,0,0
07/16/2023,285,1799,Store,405,4690.37,67,101,37,30,365.6
07/17/2023,285,1799,Delivery,4,125.43,2,0,0,0,0
07/17/2023,285,1799,Store,482,5054.83,52,156,63,55,628.27
07/18/2023,285,1799,Delivery,4,85.32,2,0,0,0,0
07/18/2023,285,1799,Store,446,4624.45,50,121,47,43,552.64
07/19/2023,285,1799,Delivery,1,35.82,2,0,0,0,0
07/19/2023,285,1799,Store,477,4968.62,66,144,53,49,472.8
07/20/2023,285,1799,Delivery,3,84.85,3,0,0,0,0
07/20/2023,285,1799,Store,531,5919.99,83,166,65,56,652.94
07/21/2023,285,1799,Delivery,1,10.55,0,0,0,0,0
07/21/2023,285,1799,Store,493,5804.3,79,151,54,48,606.68
07/22/2023,285,1799,Delivery,5,118.76,0,0,0,0,0
07/22/2023,285,1799,Store,518,5876.08,72,147,59,54,642.97
07/23/2023,285,1799,Delivery,5,122.66,1,0,0,0,0
07/23/2023,285,1799,Store,449,5308.43,79,120,48,41,522.06
07/24/2023,285,1799,Delivery,3,86.95,0,0,0,0,0
07/24/2023,285,1799,Store,409,4508.96,58,127,54,45,537.14
07/25/2023,285,1799,Delivery,3,58.48,0,1,0,0,0
07/25/2023,285,1799,Store,438,4768.53,60,108,40,36,444.99
07/26/2023,285,1799,Delivery,8,133.86,6,0,0,0,0
07/26/2023,285,1799,Store,496,5382.24,59,150,55,45,550.99
07/27/2023,285,1799,Delivery,5,139.34,3,0,0,0,0
07/27/2023,285,1799,Store,395,4760.2,47,116,48,43,626.41
07/28/2023,285,1799,Delivery,6,174.68,4,0,0,0,0
07/28/2023,285,1799,Store,473,5650.43,81,120,40,37,536.28
07/29/2023,285,1799,Delivery,4,114.5,1,1,0,0,0
07/29/2023,285,1799,Store,468,5303.01,54,142,57,52,635.27
07/30/2023,285,1799,Delivery,6,114.8,0,1,0,0,0
07/30/2023,285,1799,Store,412,4845.8,87,79,28,25,329.33
07/31/2023,285,1799,Delivery,7,179.75,4,0,0,0,0
07/31/2023,285,1799,Store,482,5361.24,67,143,47,43,566.7
08/01/2023,285,1799,Delivery,5,96.92,0,0,0,0,0
08/01/2023,285,1799,Store,502,5757.1,81,153,63,58,684.48
08/02/2023,285,1799,Delivery,9,276.3,5,0,0,0,0
08/02/2023,285,1799,Store,495,5345.27,79,165,72,57,711.38
08/03/2023,285,1799,Delivery,7,135.98,0,0,0,0,0
08/03/2023,285,1799,Store,492,5546.8,73,169,72,62,735.07
08/04/2023,285,1799,Delivery,3,49.27,0,2,0,0,0
08/04/2023,285,1799,Store,544,6296.24,96,128,49,41,529.95
08/05/2023,285,1799,Delivery,8,191.76,4,0,0,0,0
08/05/2023,285,1799,Store,469,5587.9,55,124,45,41,561.04
08/06/2023,285,1799,Delivery,4,92.51,0,1,0,0,0
08/06/2023,285,1799,Store,402,4666.27,65,130,54,49,636.27
08/07/2023,285,1799,Delivery,6,149.26,0,1,0,0,0
08/07/2023,285,1799,Store,381,4125.78,53,110,45,41,404.18
08/08/2023,285,1799,Delivery,6,131.39,1,0,0,0,0
08/08/2023,285,1799,Store,473,4894.5,58,129,54,45,508.78
08/09/2023,285,1799,Delivery,3,73.42,1,1,0,0,0
08/09/2023,285,1799,Store,435,4907.79,71,145,57,53,713.38
08/10/2023,285,1799,Delivery,6,129.44,2,0,0,0,0
08/10/2023,285,1799,Store,466,5544,87,141,54,46,679.81
08/11/2023,285,1799,Delivery,6,196.04,1,1,0,0,0
08/11/2023,285,1799,Store,505,6141.56,87,143,60,46,603.23
08/12/2023,285,1799,Delivery,9,253.98,3,1,0,0,0
08/12/2023,285,1799,Store,444,5165.52,67,131,50,44,574.95
08/13/2023,285,1799,Delivery,4,149.09,2,0,0,0,0
08/13/2023,285,1799,Store,438,5143.81,73,112,42,38,453.84
08/14/2023,285,1799,Delivery,10,303.33,7,0,0,0,0
08/14/2023,285,1799,Store,424,4929.49,53,94,36,32,346.24
08/15/2023,285,1799,Delivery,4,89.42,0,0,0,0,0
08/15/2023,285,1799,Store,423,4665.26,66,108,49,41,544.07
08/16/2023,285,1799,Delivery,3,68.68,0,0,0,0,0
08/16/2023,285,1799,Store,444,5173.57,81,113,38,35,440.3
11/03/2022,295,2010,Delivery,13,269.31,4,1,0,0,0
11/03/2022,295,2010,Store,593,6650.54,138,84,0,0,0
11/04/2022,295,2010,Delivery,10,226.51,4,0,0,0,0
11/04/2022,295,2010,Store,704,8440.72,186,109,0,0,0
11/05/2022,295,2010,Delivery,16,251.32,4,0,0,0,0
11/05/2022,295,2010,Store,591,7321.44,151,93,0,0,0
11/06/2022,295,2010,Delivery,11,185.48,2,3,0,0,0
11/06/2022,295,2010,Store,486,6062.88,126,58,0,0,0
11/07/2022,295,2010,Delivery,14,253.75,0,1,0,0,0
11/07/2022,295,2010,Store,618,7199.84,159,77,0,0,0
11/08/2022,295,2010,Delivery,14,266.19,1,3,0,0,0
11/08/2022,295,2010,Store,662,7516.78,133,78,0,0,0
11/09/2022,295,2010,Delivery,20,396.22,4,3,0,0,0
11/09/2022,295,2010,Store,668,7247.62,128,79,0,0,0
11/10/2022,295,2010,Delivery,23,479.4,5,3,0,0,0
11/10/2022,295,2010,Store,688,7909.55,127,100,0,0,0
11/11/2022,295,2010,Delivery,19,367.76,6,4,0,0,0
